Dep,tx pauv menages,Nvie median,Tx chomage,Diplomes sup 25 34,Sal moyen,dep rsa b,Nb menages fiscaux ,MF imposes ,Pop totale,Moyenne taxe habit,Tx fam monop,Pop en unite urbaine,Tx d'activite 25 64,Densite pop,Outre mer
Ain,"10,5",24810,"6,1","41,4",2340,48179553,270138,"55,2",657856,"249,4","13,6",67,"92,6","114,2",N
Aisne,18,20920,11,"29,7",2145,113897802,224492,"45,2",529374,"128,1",16,"53,2","88,9","71,9",N
Alpes de Haute Provence,"16,6",21790,"9,1","37,2",2162,26589592,72855,"47,3",165451,"147,5",17,"61,9","89,7","23,9",N
Hautes Alpes,"13,9",22010,"7,7","41,7",2069,18881226,65683,"49,3",140605,"132,1","15,2","59,5","92,2","25,3",N
Alpes Maritimes,"16,2",23460,"8,8","45,7",2508,149302289,536880,"55,2",1097410,"356,7","18,4","95,9","89,5","255,3",N
Ardeche,"14,3",21990,"8,7","37,8",2172,40531787,145192,"47,3",329325,"133,9","13,8","63,3","91,8","59,6",N
Ardennes,"18,3",20850,"9,6","33,3",2140,64864434,118500,"43,5",269701,"119,8","15,7","57,3","88,8","51,6",N
Ariege,"17,9",20820,"9,8","34,2",2067,39708657,72066,"43,3",153954,"116,9","17,3","55,5","89,8","31,5",N
Aube,"16,2",21530,10,"35,1",2127,64124418,132991,"47,7",311435,"161,3","17,6","61,3",90,"51,9",N
Aude,20,20510,"10,7","32,7",2033,100808661,171836,"42,2",375217,"152,9","17,3","61,6","87,7","61,1",N
Aveyron,14,21860,"6,1","41,9",2058,26765147,126764,"45,6",279554,"118,3","11,9","47,7","92,1",32,N
Bouches du Rhone,"17,9",22920,"9,4","45,4",2517,506272464,869140,"53,2",2048070,"367,4","20,2","99,3","86,3","402,6",N
Calvados,"11,9",22840,"7,4","39,8",2206,88566829,307659,"52,1",697547,"153,1","14,6","68,9","92,3",126,N
Cantal,"13,2",21710,"4,8","37,2",1968,14212594,67592,"44,8",144379,"126,5","12,5","35,3","92,8","25,2",N
Charente,"14,6",22000,"7,8","35,5",2177,68230273,161820,"47,7",351718,"133,1","14,9","46,7","91,5",59,N
Charentes Maritimes,"12,4",22810,"8,2",36,2163,90178416,316687,"50,8",655709,"175,9","14,1","60,9","91,8","95,5",N
Cher,14,22100,"8,1","35,5",2156,60470534,139636,"49,2",300933,161,"14,8","55,3","90,8","41,6",N
Correze,"13,1",22140,"6,5",38,2097,20558812,111468,"48,7",239190,"131,5","13,3","55,6","91,6","40,8",N
Corse du Sud,"16,3",23420,"7,7",45,2193,22031518,61036,54,160814,328,"22,9","73,5","88,2","40,1",N
Haute Corse,"20,1",21460,"7,9","38,9",2127,25055519,67789,"46,9",182887,"228,8","16,1","70,2","84,4","39,2",N
Cote d'Or,"11,5",23720,"6,3","34,1",2308,60840160,232935,"55,8",535078,"221,3","14,2","62,9","92,5","61,1",N
Cotes d'Armor,"12,1",22670,"7,1","32,3",2126,68790000,281440,"49,3",603640,"176,6","13,1","60,8","92,9","87,8",N
Creuse,"18,3",20620,"7,1","42,1",1948,16153883,56411,"42,2",115995,"102,6","14,5","21,4","90,8","20,8",N
Dordogne,"16,1",21410,8,"40,5",2029,65460155,191611,"45,1",412807,"119,1","14,4",49,"90,5","45,6",N
Doubs,"12,2",23890,"7,5","33,3",2224,79268141,234231,"55,1",545209,"238,1",15,"65,4","91,2","104,2",N
Drome,"14,4",22450,"8,6","36,1",2291,71974291,228957,"49,5",517709,"187,6","14,9","71,3","91,1","79,3",N
Eure,"12,3",22880,8,"44,5",2331,86435033,251484,"53,3",599668,"130,4","15,1","55,9","91,3","99,8",N
Eure et Loir,"11,8",23360,"7,4",33,2344,54467357,182871,"55,3",431443,"165,7",14,"61,4","92,3","73,4",N
Finistere,11,23220,7,"33,1",2194,109454478,421606,"51,4",917179,"220,3","13,7","77,9",92,"136,2",N
Gard,"19,4",21330,"10,7","37,4",2246,195636586,337231,46,751457,"213,2","17,2","82,1",88,"128,4",N
Haute Garonne,"13,3",24230,8,"57,4",2636,227363175,620391,"56,6",1415757,"318,2","17,1","86,8","91,6","224,4",N
Gers,15,22110,6,"39,3",2168,25083306,86472,"46,3",191819,"134,6","14,4","36,1","91,7","30,7",N
Gironde,"12,4",23950,"7,6","48,1",2446,254859551,734949,"55,7",1636391,"306,3","16,2","86,7","91,9",164,N
Herault,"18,7",21800,"11,1","45,5",2307,257903389,536698,"48,1",1188973,"283,4","18,4","89,1","88,2","194,9",N
